SalesID,SalesDate,StaffID,CustomerID
TR00109,2020-09-01,ST00060,CU00479
TR00110,2019-02-05,ST00731,CU00607
TR00111,2019-09-17,ST00718,CU00252
TR00112,2021-05-05,ST00966,CU00525
TR00113,2021-01-10,ST00188,CU00491
TR00114,2019-09-27,ST00656,CU00505
TR00115,2020-06-16,ST00656,CU00923
TR00116,2019-05-08,ST00546,CU00956
TR00117,2021-11-20,ST00579,CU00860
TR00118,2019-10-13,ST00125,CU00156
TR00119,2020-07-28,ST00339,CU00204
TR00120,2019-04-22,ST00997,CU00022
TR00121,2020-06-12,ST00821,CU00601
TR00122,2021-12-25,ST00792,CU00050
TR00123,2020-10-03,ST00240,CU00113
TR00124,2020-11-28,ST00990,CU00742
TR00125,2021-10-13,ST00998,CU00714
TR00126,2020-09-04,ST00480,CU00283
TR00127,2021-07-23,ST00530,CU00879
TR00128,2019-04-08,ST00563,CU00792
TR00129,2021-04-11,ST00216,CU00467
TR00130,2019-01-18,ST00122,CU00027
TR00131,2019-02-25,ST00097,CU00323
TR00132,2019-09-14,ST00219,CU00158
TR00133,2021-06-11,ST00540,CU00706
TR00134,2019-05-12,ST00856,CU00513
TR00135,2019-02-26,ST00054,CU00993
TR00136,2019-01-10,ST00249,CU00957
TR00137,2019-04-14,ST00671,CU00027
TR00138,2019-04-16,ST00770,CU00935
TR00139,2019-03-04,ST00831,CU00870
TR00140,2021-01-03,ST00476,CU00367
TR00141,2021-11-26,ST00909,CU00770
TR00142,2020-07-10,ST00788,CU00971
TR00143,2020-12-13,ST00115,CU00190
TR00144,2020-04-18,ST00033,CU00217
TR00145,2019-06-26,ST00751,CU00983
TR00146,2020-03-07,ST00953,CU00277
TR00147,2020-12-14,ST00539,CU00239
TR00148,2020-08-04,ST00513,CU00460
TR00149,2021-06-21,ST00616,CU00351
TR00150,2021-10-06,ST00345,CU00900
TR00151,2019-12-11,ST00240,CU00628
TR00152,2021-01-14,ST00088,CU00967
TR00153,2021-01-08,ST00873,CU00041
TR00154,2019-01-03,ST00077,CU00936
TR00155,2020-12-24,ST00885,CU00038
TR00156,2020-01-13,ST00573,CU00371
TR00157,2019-07-05,ST00666,CU00322
TR00158,2019-06-28,ST00213,CU00049
TR00159,2019-05-20,ST00383,CU00109
TR00160,2020-12-27,ST00259,CU00651
TR00161,2021-05-07,ST00373,CU00136
TR00162,2021-11-06,ST00169,CU00885
TR00163,2021-06-09,ST00822,CU00764
TR00164,2020-07-05,ST00308,CU00331
TR00165,2020-04-15,ST00842,CU00247
TR00166,2020-04-11,ST00953,CU00526
TR00167,2019-03-04,ST00718,CU00764
TR00168,2020-05-04,ST00396,CU00762
TR00169,2019-12-03,ST00169,CU00276
TR00170,2020-04-25,ST00728,CU00890
TR00171,2021-03-10,ST00257,CU00965
TR00172,2019-12-05,ST00692,CU00057
TR00173,2020-06-16,ST00203,CU00468
TR00174,2021-08-09,ST00038,CU00531
TR00175,2019-09-10,ST00342,CU00251
TR00176,2019-08-08,ST00111,CU00746
TR00177,2019-08-05,ST00300,CU00319
TR00178,2021-04-27,ST00349,CU00893
TR00179,2021-12-12,ST00416,CU00764
TR00180,2021-12-23,ST00119,CU00620
TR00181,2019-02-24,ST00175,CU00507
TR00182,2019-09-09,ST00965,CU00581
TR00183,2021-08-20,ST00498,CU00516
TR00184,2019-07-09,ST00604,CU00830
TR00185,2021-12-07,ST00516,CU00069
TR00186,2019-01-01,ST00895,CU00334
TR00187,2020-10-02,ST00381,CU00456
TR00188,2021-12-26,ST00102,CU00410
TR00189,2020-11-06,ST00417,CU00786
TR00190,2020-08-17,ST00520,CU00895
TR00191,2020-06-27,ST00786,CU00345
TR00192,2019-06-12,ST00262,CU00219
TR00193,2021-11-19,ST00712,CU00668
TR00194,2020-10-20,ST00137,CU00023
TR00195,2021-06-09,ST00249,CU00658
TR00196,2019-04-10,ST00120,CU00206
TR00197,2020-09-01,ST00686,CU00501
TR00198,2019-12-14,ST00679,CU00033
TR00199,2020-10-15,ST00512,CU00610
TR00200,2020-03-13,ST00792,CU00227
TR00201,2020-02-17,ST00403,CU00152
TR00202,2021-05-06,ST00983,CU00117
TR00203,2020-12-21,ST00779,CU00721
TR00204,2020-05-01,ST00580,CU00471
TR00205,2019-09-18,ST00702,CU00808
TR00206,2019-01-27,ST00466,CU00207
TR00207,2020-08-13,ST00298,CU00092
TR00208,2019-11-12,ST00065,CU00274
TR00209,2021-12-27,ST00675,CU00516
TR00210,2020-05-05,ST00566,CU00929
TR00211,2019-04-01,ST00669,CU00030
TR00212,2021-01-07,ST00633,CU00535
TR00213,2019-02-02,ST00875,CU00928
TR00214,2019-06-17,ST00712,CU00299
TR00215,2019-11-17,ST00716,CU00441
TR00216,2021-07-13,ST00750,CU00075
TR00217,2019-04-10,ST00628,CU00500
TR00218,2021-09-15,ST00859,CU00099
TR00219,2020-01-04,ST00094,CU00675
TR00220,2021-10-15,ST00385,CU00753
TR00221,2020-08-28,ST00387,CU00621
TR00222,2021-03-25,ST00876,CU00895
TR00223,2019-12-20,ST00721,CU00313
TR00224,2021-09-27,ST00122,CU00440
TR00225,2019-08-01,ST00311,CU00242
TR00226,2020-07-22,ST00627,CU00398
TR00227,2019-05-19,ST00740,CU00587
TR00228,2021-10-28,ST00932,CU00194
TR00229,2019-02-10,ST00520,CU00528
TR00230,2019-10-03,ST00245,CU00862
TR00231,2020-03-03,ST00500,CU00076
TR00232,2019-07-16,ST00261,CU00412
TR00233,2021-01-19,ST00886,CU00340
TR00234,2020-07-19,ST00184,CU00777
TR00235,2020-03-28,ST00791,CU00944
TR00236,2020-05-20,ST00826,CU00678
TR00237,2020-06-19,ST00539,CU00940
TR00238,2020-08-15,ST00980,CU00848
TR00239,2021-11-25,ST00862,CU00764
TR00240,2019-07-13,ST00292,CU00146
TR00241,2021-05-01,ST00390,CU00172
TR00242,2020-07-08,ST00602,CU00168
TR00243,2019-11-09,ST00606,CU00060
TR00244,2020-06-14,ST00518,CU00354
TR00245,2019-07-25,ST00910,CU00686
TR00246,2021-08-13,ST00657,CU00576
TR00247,2019-09-19,ST00425,CU00322
TR00248,2020-02-06,ST00232,CU00219
TR00249,2019-07-26,ST00622,CU00318
TR00250,2021-10-10,ST00309,CU00023
TR00251,2021-10-09,ST00555,CU00206
TR00252,2021-06-20,ST00980,CU00919
TR00253,2020-09-01,ST00135,CU00229
TR00254,2021-02-08,ST00622,CU00355
TR00255,2021-12-03,ST00181,CU00406
TR00256,2021-10-14,ST00936,CU00935
TR00257,2020-10-19,ST00788,CU00264
TR00258,2019-11-25,ST00759,CU00150
TR00259,2020-04-14,ST00183,CU00343
TR00260,2020-12-20,ST00514,CU00253
TR00261,2020-10-06,ST00300,CU00202
TR00262,2019-01-07,ST00422,CU00090
TR00263,2020-09-18,ST00694,CU00824
TR00264,2019-07-07,ST00364,CU00687
TR00265,2020-08-02,ST00503,CU00691
TR00266,2021-11-08,ST00665,CU00523
TR00267,2020-04-23,ST00881,CU00430
TR00268,2019-06-17,ST00660,CU00261
TR00269,2021-10-07,ST00821,CU00940
TR00270,2019-05-06,ST00029,CU00974
TR00271,2019-02-23,ST00692,CU00077
TR00272,2020-07-09,ST00770,CU00986
TR00273,2021-07-06,ST00003,CU00999
TR00274,2020-09-23,ST00606,CU00020
TR00275,2021-09-16,ST00995,CU00389
TR00276,2020-11-21,ST00356,CU00865
TR00277,2020-12-18,ST00573,CU00041
TR00278,2021-10-10,ST00918,CU00234
TR00279,2020-07-03,ST00943,CU00937
TR00280,2021-07-07,ST00563,CU00659
TR00281,2021-09-16,ST00191,CU00595
TR00282,2021-10-10,ST00490,CU00341
TR00283,2019-09-10,ST00983,CU00451
TR00284,2019-05-05,ST00918,CU00480
TR00285,2020-11-13,ST00388,CU00039
TR00286,2021-08-23,ST00630,CU00637
TR00287,2021-06-08,ST00892,CU00488
TR00288,2019-09-27,ST00443,CU00807
TR00289,2021-02-21,ST00423,CU00277
TR00290,2019-01-13,ST00625,CU00263
TR00291,2020-05-22,ST00575,CU00495
TR00292,2021-03-16,ST00407,CU00785
TR00293,2021-10-14,ST00021,CU00853
TR00294,2020-12-20,ST00541,CU00237
TR00295,2019-11-25,ST00780,CU00005
TR00296,2020-03-19,ST00532,CU00214
TR00297,2020-01-08,ST00067,CU00407
TR00298,2021-06-08,ST00144,CU00413
TR00299,2021-09-17,ST00050,CU00742
TR00300,2019-07-06,ST00001,CU00354
TR00301,2019-07-26,ST00424,CU00543
TR00302,2021-04-15,ST00812,CU00854
TR00303,2021-01-21,ST00787,CU00334
TR00304,2020-03-20,ST00028,CU00277
TR00305,2019-08-05,ST00039,CU00288
TR00306,2020-05-27,ST00844,CU00720
TR00307,2021-04-06,ST00552,CU00740
TR00308,2020-01-17,ST00316,CU00287
TR00309,2021-07-02,ST00795,CU00679
TR00310,2020-03-25,ST00089,CU00129
TR00311,2020-05-03,ST00131,CU00517
TR00312,2021-03-16,ST00537,CU00282
TR00313,2019-04-04,ST00363,CU00513
TR00314,2020-03-17,ST00671,CU00613
TR00315,2021-08-06,ST00630,CU00461
TR00316,2020-10-03,ST00382,CU00550
TR00317,2020-07-27,ST00193,CU00289
TR00318,2021-05-28,ST00222,CU00256
TR00319,2020-03-12,ST00851,CU00750
TR00320,2019-05-06,ST00809,CU00272
TR00321,2019-03-25,ST00100,CU00855
TR00322,2020-11-27,ST00980,CU00544
TR00323,2020-12-07,ST00697,CU00767
TR00324,2019-11-15,ST00559,CU00758
TR00325,2021-06-12,ST00525,CU00321
TR00326,2021-05-22,ST00790,CU00157
TR00327,2019-11-12,ST00248,CU00428
TR00328,2020-10-19,ST00696,CU00430
TR00329,2021-07-17,ST00692,CU00260
TR00330,2019-08-26,ST00452,CU00626
TR00331,2021-09-24,ST00311,CU00755
TR00332,2021-11-02,ST00960,CU00321
TR00333,2019-06-27,ST00437,CU00942
TR00334,2019-03-10,ST00999,CU00369
TR00335,2019-05-12,ST00761,CU00768
TR00336,2019-01-19,ST00379,CU00049
TR00337,2020-09-14,ST00133,CU00142
TR00338,2020-09-22,ST00294,CU00577
TR00339,2021-09-01,ST00067,CU00344
TR00340,2020-08-20,ST00729,CU00329
TR00341,2019-07-13,ST00182,CU00520
TR00342,2021-10-21,ST00893,CU00600
TR00343,2019-05-21,ST00798,CU00639
TR00344,2019-02-11,ST00425,CU00789
TR00345,2020-02-20,ST00048,CU00291
TR00346,2020-08-25,ST00615,CU00444
TR00347,2019-11-11,ST00790,CU00274
TR00348,2019-06-11,ST00227,CU00248
TR00349,2021-09-02,ST00117,CU00728
TR00350,2020-06-28,ST00524,CU00628
TR00351,2021-05-06,ST00561,CU00164
TR00352,2019-02-15,ST00482,CU00911
TR00353,2020-08-24,ST00083,CU00273
TR00354,2020-07-20,ST00951,CU00319
TR00355,2021-11-19,ST00804,CU00152
TR00356,2020-12-14,ST00683,CU00949
TR00357,2020-02-06,ST00501,CU00980
TR00358,2021-01-02,ST00167,CU00209
TR00359,2019-08-07,ST00258,CU00390
TR00360,2019-07-03,ST00794,CU00489
TR00361,2020-03-01,ST00734,CU00574
TR00362,2019-12-05,ST00642,CU00491
TR00363,2020-11-07,ST00922,CU00210
TR00364,2020-04-22,ST00492,CU00528
TR00365,2020-02-05,ST00847,CU00196
TR00366,2020-07-13,ST00976,CU00827
TR00367,2019-08-15,ST00900,CU00211
TR00368,2019-06-03,ST00185,CU00826
TR00369,2020-04-26,ST00603,CU00752
TR00370,2019-12-13,ST00577,CU00718
TR00371,2021-11-01,ST00769,CU00107
TR00372,2021-09-10,ST00788,CU00597
TR00373,2020-09-11,ST00074,CU00525
TR00374,2020-05-27,ST00025,CU00423
TR00375,2020-09-10,ST00732,CU00664
TR00376,2021-03-21,ST00985,CU00965
TR00377,2019-12-28,ST00948,CU00378
TR00378,2020-03-19,ST00039,CU00439
TR00379,2021-05-10,ST00510,CU00780
TR00380,2021-06-16,ST00264,CU00684
TR00381,2021-11-24,ST00514,CU00433
TR00382,2019-02-23,ST00498,CU00292
TR00383,2020-06-19,ST00905,CU00246
TR00384,2021-04-15,ST00728,CU00938
TR00385,2020-05-09,ST00875,CU00045
TR00386,2021-03-13,ST00588,CU00666
TR00387,2020-07-19,ST00511,CU00272
TR00388,2021-01-11,ST00558,CU00213
TR00389,2020-03-04,ST00386,CU00977
TR00390,2021-08-03,ST00333,CU00386
TR00391,2021-04-05,ST00918,CU00949
TR00392,2019-05-15,ST00865,CU00695
TR00393,2021-08-03,ST00578,CU00068
TR00394,2019-04-27,ST00259,CU00053
TR00395,2021-06-23,ST00182,CU00075
TR00396,2021-04-11,ST00084,CU00168
TR00397,2021-11-03,ST00448,CU00497
TR00398,2019-10-19,ST00168,CU00819
TR00399,2019-06-17,ST00530,CU00849
TR00400,2019-12-15,ST00071,CU00212
TR00401,2020-03-04,ST00754,CU00690
TR00402,2019-01-01,ST00010,CU00631
TR00403,2019-10-16,ST00025,CU00737
TR00404,2019-02-24,ST00383,CU00955
TR00405,2020-02-07,ST00407,CU00443
TR00406,2020-09-10,ST00394,CU00235
TR00407,2020-04-24,ST00898,CU00932
TR00408,2021-04-02,ST00193,CU00262
TR00409,2021-10-08,ST00071,CU00185
TR00410,2021-08-16,ST00151,CU00596
TR00411,2020-02-14,ST00934,CU00768
TR00412,2020-07-14,ST00191,CU00324
TR00413,2020-03-26,ST00324,CU00856
TR00414,2021-03-20,ST00798,CU00696
TR00415,2020-05-04,ST00798,CU00778
TR00416,2021-10-13,ST00951,CU00406
TR00417,2019-02-26,ST00338,CU00522
TR00418,2021-07-04,ST00725,CU00638
TR00419,2020-08-13,ST00042,CU00248
TR00420,2020-06-20,ST00279,CU00170
TR00421,2019-11-14,ST00596,CU00063
TR00422,2019-07-22,ST00137,CU00055
TR00423,2019-04-13,ST00116,CU00370
TR00424,2020-07-02,ST00488,CU00322
TR00425,2020-07-23,ST00040,CU00289
TR00426,2021-01-10,ST01000,CU00715
TR00427,2019-04-28,ST00225,CU00835
TR00428,2020-03-23,ST00807,CU00237
TR00429,2020-09-14,ST00001,CU00330
TR00430,2020-08-13,ST00400,CU00265
TR00431,2019-12-20,ST00797,CU00876
TR00432,2019-06-07,ST00356,CU00809
TR00433,2020-08-13,ST00904,CU00317
TR00434,2020-09-03,ST00579,CU00950
TR00435,2021-05-21,ST00350,CU00132
TR00436,2021-11-03,ST00690,CU00774
TR00437,2021-08-09,ST00121,CU00215
TR00438,2021-02-25,ST00693,CU00157
TR00439,2020-02-11,ST00417,CU00278
TR00440,2020-08-14,ST00719,CU00148
TR00441,2021-08-12,ST00253,CU00074
TR00442,2019-07-13,ST00954,CU00461
TR00443,2019-04-09,ST00730,CU00201
TR00444,2019-02-07,ST00887,CU00357
TR00445,2021-12-26,ST00541,CU00713
TR00446,2020-07-19,ST00827,CU00411
TR00447,2019-08-24,ST00980,CU00190
TR00448,2021-01-02,ST00279,CU00635
TR00449,2020-12-11,ST00270,CU00727
TR00450,2019-03-03,ST00195,CU00553
TR00451,2021-01-22,ST00981,CU00349
TR00452,2019-04-28,ST00241,CU00938
TR00453,2020-02-15,ST00356,CU00140
TR00454,2020-08-25,ST00292,CU00194
TR00455,2019-09-27,ST00533,CU00051
TR00456,2021-07-28,ST00750,CU00426
TR00457,2021-04-24,ST00156,CU00005
TR00458,2019-07-13,ST00507,CU00082
TR00459,2021-07-25,ST00280,CU00395
TR00460,2019-10-05,ST00042,CU00710
TR00461,2021-11-24,ST00489,CU00234
TR00462,2020-11-01,ST00007,CU00549
TR00463,2020-02-26,ST00472,CU00873
TR00464,2020-09-13,ST00406,CU00943
TR00465,2019-04-15,ST00068,CU00446
TR00466,2021-08-15,ST00640,CU00657
TR00467,2019-10-23,ST00020,CU00007
TR00468,2020-09-05,ST00562,CU00158
TR00469,2021-04-05,ST00888,CU00430
TR00470,2020-02-20,ST00955,CU00969
TR00471,2020-02-01,ST00890,CU00815
TR00472,2020-07-18,ST00336,CU00913
TR00473,2021-11-26,ST00827,CU00964
TR00474,2019-06-17,ST00817,CU00590
TR00475,2020-08-14,ST00009,CU00621
TR00476,2021-01-12,ST00531,CU00509
TR00477,2021-11-02,ST00818,CU00636
TR00478,2021-02-09,ST00835,CU00887
TR00479,2021-10-16,ST00725,CU00110
TR00480,2020-05-13,ST00531,CU00436
TR00481,2021-04-11,ST00606,CU00705
TR00482,2021-05-20,ST00443,CU00207
TR00483,2019-05-14,ST00136,CU00370
TR00484,2019-08-17,ST00626,CU00343
TR00485,2021-07-15,ST00718,CU00107
TR00486,2021-07-11,ST00319,CU00620
TR00487,2019-09-11,ST00241,CU00693
TR00488,2021-07-18,ST00992,CU00978
TR00489,2021-07-07,ST00569,CU00248
TR00490,2020-07-10,ST00450,CU00030
TR00491,2020-06-19,ST00576,CU00256
TR00492,2020-10-01,ST00416,CU00994
TR00493,2020-11-16,ST00689,CU00482
TR00494,2020-02-16,ST00461,CU00798
TR00495,2020-01-23,ST00898,CU00889
TR00496,2019-05-22,ST00647,CU00102
TR00497,2020-01-11,ST00320,CU00824
TR00498,2021-08-13,ST00832,CU00803
TR00499,2021-05-18,ST00537,CU00344
TR00500,2019-02-20,ST00680,CU00088
TR00501,2019-12-17,ST00227,CU00067
TR00502,2020-03-15,ST00302,CU00520
TR00503,2019-04-04,ST00575,CU00935
TR00504,2020-05-24,ST00769,CU00537
TR00505,2019-05-12,ST00033,CU00081
TR00506,2020-01-04,ST00039,CU00686
TR00507,2021-07-04,ST00520,CU00472
TR00508,2021-09-13,ST00378,CU00956
TR00509,2021-04-28,ST00648,CU00125
TR00510,2020-06-26,ST00480,CU00104
TR00511,2020-10-01,ST00966,CU00099
TR00512,2021-05-27,ST00611,CU00091
TR00513,2020-05-27,ST00888,CU00893
TR00514,2019-02-25,ST00081,CU00585
TR00515,2021-01-06,ST00437,CU00643
TR00516,2021-09-10,ST00708,CU00986
TR00517,2020-05-22,ST00081,CU00023
TR00518,2019-02-08,ST00801,CU00789
TR00519,2021-04-05,ST00949,CU00401
TR00520,2019-04-07,ST00870,CU00613
TR00521,2021-01-10,ST00474,CU00884
TR00522,2019-02-04,ST00380,CU00063
TR00523,2021-11-10,ST00392,CU00740
TR00524,2019-04-18,ST00048,CU00529
TR00525,2021-02-01,ST00278,CU00451
TR00526,2021-08-17,ST00829,CU00348
TR00527,2020-12-01,ST00102,CU00174
TR00528,2021-08-11,ST00769,CU00756
TR00529,2020-08-17,ST00134,CU00508
TR00530,2021-04-25,ST00904,CU00403
TR00531,2021-10-03,ST00219,CU00832
TR00532,2020-01-25,ST00474,CU00020
TR00533,2019-09-09,ST00214,CU00081
TR00534,2021-08-22,ST00999,CU00857
TR00535,2021-04-21,ST00935,CU00966
TR00536,2021-05-04,ST00371,CU00446
TR00537,2020-04-15,ST00982,CU00033
TR00538,2019-04-13,ST00676,CU00178
TR00539,2021-08-18,ST00021,CU00138
TR00540,2021-02-07,ST00566,CU00964
TR00541,2019-08-25,ST00338,CU00303
TR00542,2021-04-26,ST00807,CU00911
TR00543,2021-02-28,ST00161,CU00603
TR00544,2020-12-16,ST00589,CU00987
TR00545,2019-12-19,ST00477,CU00158
TR00546,2020-12-08,ST00058,CU00968
TR00547,2021-09-07,ST00250,CU00762
TR00548,2019-02-10,ST00074,CU00693
TR00549,2021-03-21,ST00132,CU00396
TR00550,2020-03-05,ST00882,CU00511
TR00551,2019-10-16,ST00258,CU00743
TR00552,2020-01-04,ST00136,CU00623
TR00553,2021-04-25,ST00033,CU00487
TR00554,2019-11-02,ST00951,CU00429
TR00555,2021-01-05,ST00505,CU00111
TR00556,2021-02-16,ST00768,CU00050
TR00557,2020-08-09,ST00487,CU00905
TR00558,2020-05-19,ST00250,CU00922
TR00559,2019-05-28,ST00237,CU00362
TR00560,2019-05-09,ST00261,CU00542
TR00561,2020-08-23,ST00279,CU00856
TR00562,2019-11-15,ST00708,CU00317
TR00563,2020-03-08,ST00111,CU00772
TR00564,2021-01-06,ST00429,CU00465
TR00565,2019-09-08,ST00881,CU00865
TR00566,2020-02-25,ST00745,CU00271
TR00567,2020-06-21,ST00245,CU00591
TR00568,2020-12-15,ST00899,CU00979
TR00569,2020-11-22,ST00084,CU00402
TR00570,2019-01-06,ST00391,CU00217
TR00571,2020-05-16,ST00247,CU00659
TR00572,2020-10-18,ST00893,CU00498
TR00573,2021-02-17,ST00248,CU00937
TR00574,2021-09-14,ST00083,CU00484
TR00575,2020-12-21,ST00049,CU00771
TR00576,2020-06-25,ST00638,CU00447
TR00577,2019-07-04,ST00725,CU00510
TR00578,2021-07-17,ST00492,CU00668
TR00579,2020-06-17,ST00619,CU00802
TR00580,2020-06-04,ST00584,CU00977
TR00581,2019-12-14,ST00367,CU00253
TR00582,2020-02-09,ST00035,CU00996
TR00583,2020-04-14,ST00811,CU00949
TR00584,2019-04-16,ST00812,CU00935
TR00585,2021-12-16,ST00051,CU00383
TR00586,2020-05-26,ST00536,CU00118
TR00587,2020-10-13,ST00255,CU00429
TR00588,2019-01-26,ST00851,CU00967
TR00589,2020-02-26,ST00312,CU00115
TR00590,2020-07-09,ST00025,CU00235
TR00591,2019-02-05,ST00210,CU00535
TR00592,2021-10-26,ST00658,CU00438
TR00593,2020-03-09,ST00915,CU00092
TR00594,2019-07-10,ST00880,CU00145
TR00595,2020-03-07,ST00435,CU00061
TR00596,2019-07-18,ST00891,CU00941
TR00597,2021-03-05,ST00922,CU00341
TR00598,2021-08-11,ST00992,CU00074
TR00599,2020-01-24,ST00929,CU00646
TR00600,2020-07-10,ST00493,CU00672
TR00601,2021-01-09,ST00524,CU00195
TR00602,2020-01-07,ST00413,CU00243
TR00603,2021-09-01,ST00653,CU00486
TR00604,2021-05-05,ST00849,CU00332
TR00605,2021-12-20,ST00088,CU00619
TR00606,2020-11-05,ST00247,CU00340
TR00607,2020-10-16,ST00765,CU00594
TR00608,2021-12-18,ST00643,CU00833
TR00609,2019-11-03,ST00255,CU00880
TR00610,2020-04-23,ST00273,CU00924
TR00611,2020-07-04,ST00976,CU00484
TR00612,2020-11-20,ST00805,CU00839
TR00613,2021-07-18,ST00392,CU00762
TR00614,2020-07-03,ST00852,CU00490
TR00615,2020-06-07,ST00717,CU00515
TR00616,2019-08-19,ST00847,CU00311
TR00617,2019-11-27,ST00902,CU00719
TR00618,2019-07-17,ST00887,CU00364
TR00619,2021-07-21,ST00289,CU00496
TR00620,2019-12-18,ST00323,CU00971
TR00621,2019-01-17,ST00443,CU00189
TR00622,2021-11-16,ST00715,CU00094
TR00623,2021-12-05,ST00028,CU00823
TR00624,2019-01-21,ST00154,CU00674
TR00625,2019-02-05,ST00398,CU00525
TR00626,2021-11-10,ST00155,CU00542
TR00627,2020-12-03,ST00122,CU00656
TR00628,2020-10-13,ST00438,CU00677
TR00629,2020-03-04,ST00690,CU00562
TR00630,2020-11-25,ST00846,CU00228
TR00631,2019-09-22,ST00540,CU00857
TR00632,2021-12-22,ST00457,CU00495
TR00633,2019-02-06,ST00633,CU00749
TR00634,2020-06-19,ST00618,CU00693
