SalesID,JuiceID,Quantity
TR00120,JU00135,4
TR00120,JU00902,2
TR00121,JU00324,2
TR00122,JU00429,1
TR00123,JU00471,4
TR00123,JU00577,4
TR00124,JU00258,5
TR00125,JU00464,3
TR00125,JU00504,2
TR00126,JU00633,5
TR00127,JU00359,3
TR00127,JU00683,1
TR00128,JU00613,4
TR00128,JU00622,4
TR00129,JU00267,3
TR00129,JU00698,1
TR00129,JU00811,4
TR00129,JU00880,4
TR00130,JU00367,5
TR00130,JU00468,1
TR00130,JU00859,4
TR00130,JU00995,4
TR00131,JU00133,1
TR00131,JU00163,5
TR00131,JU00667,4
TR00132,JU00546,4
TR00133,JU00065,1
TR00133,JU00119,3
TR00133,JU00585,4
TR00133,JU00797,4
TR00134,JU00153,2
TR00134,JU00567,2
TR00135,JU00758,1
TR00135,JU00760,4
TR00136,JU00136,3
TR00137,JU00151,4
TR00137,JU00607,2
TR00137,JU00962,5
TR00138,JU00529,3
TR00138,JU00616,4
TR00138,JU00832,1
TR00138,JU00841,2
TR00138,JU00952,1
TR00139,JU00345,5
TR00139,JU00896,1
TR00140,JU00158,3
TR00140,JU00844,2
TR00141,JU00273,5
TR00141,JU00443,5
TR00141,JU00601,2
TR00142,JU00343,2
TR00142,JU00424,3
TR00142,JU00963,2
TR00143,JU00051,4
TR00143,JU00328,4
TR00143,JU00466,1
TR00144,JU00385,5
TR00144,JU00420,2
TR00145,JU00046,1
TR00145,JU00269,4
TR00145,JU00957,1
TR00146,JU00356,5
TR00146,JU00408,5
TR00147,JU00843,4
TR00148,JU00190,1
TR00148,JU00291,5
TR00149,JU00096,3
TR00150,JU00158,5
TR00150,JU00320,5
TR00150,JU00462,3
TR00150,JU00620,5
TR00151,JU00212,3
TR00151,JU00343,5
TR00152,JU00117,2
TR00152,JU00137,1
TR00152,JU00184,3
TR00153,JU00752,1
TR00153,JU00845,1
TR00153,JU00945,5
TR00154,JU00824,3
TR00155,JU00158,1
TR00155,JU00255,5
TR00155,JU00262,2
TR00155,JU00361,5
TR00155,JU00408,1
TR00156,JU00063,5
TR00156,JU00484,3
TR00157,JU00095,5
TR00157,JU00614,5
TR00157,JU00760,4
TR00158,JU00039,5
TR00158,JU00157,4
TR00158,JU00242,5
TR00158,JU00685,5
TR00158,JU00962,4
TR00159,JU00279,3
TR00159,JU00425,3
TR00159,JU00853,1
TR00160,JU00295,4
TR00160,JU00628,4
TR00160,JU00638,2
TR00160,JU00960,4
TR00161,JU00705,1
TR00162,JU00161,5
TR00163,JU00058,1
TR00164,JU00842,4
TR00164,JU00948,1
TR00165,JU00217,2
TR00165,JU00474,1
TR00165,JU00546,4
TR00165,JU00662,2
TR00166,JU00101,3
TR00167,JU00289,1
TR00167,JU00335,4
TR00167,JU00534,5
TR00167,JU00752,4
TR00167,JU00782,1
TR00167,JU00966,4
TR00168,JU00642,4
TR00168,JU00840,4
TR00169,JU00754,1
TR00170,JU00090,3
TR00170,JU00233,4
TR00170,JU00471,4
TR00170,JU00590,5
TR00171,JU00164,4
TR00171,JU00759,3
TR00171,JU00928,5
TR00172,JU00873,5
TR00172,JU00956,3
TR00173,JU00398,2
TR00173,JU00460,5
TR00174,JU00208,4
TR00174,JU00660,3
TR00174,JU00799,2
TR00174,JU00853,1
TR00175,JU00857,1
TR00176,JU00867,3
TR00176,JU00937,2
TR00176,JU00975,2
TR00177,JU00283,4
TR00177,JU00370,1
TR00177,JU00547,2
TR00178,JU00121,3
TR00178,JU00611,3
TR00178,JU00719,4
TR00179,JU00008,1
TR00179,JU00315,2
TR00179,JU00335,1
TR00179,JU00421,2
TR00180,JU00470,5
TR00180,JU00587,2
TR00180,JU00784,3
TR00180,JU00827,1
TR00181,JU00459,4
TR00181,JU00590,1
TR00182,JU00298,1
TR00183,JU00013,3
TR00183,JU00157,3
TR00183,JU00838,4
TR00183,JU00852,5
TR00183,JU00954,2
TR00184,JU00195,4
TR00184,JU00736,1
TR00184,JU00815,1
TR00185,JU00301,1
TR00185,JU00402,5
TR00185,JU00662,5
TR00186,JU00452,2
TR00186,JU00637,3
TR00186,JU00745,5
TR00186,JU00891,5
TR00187,JU00011,4
TR00187,JU00564,4
TR00187,JU00793,5
TR00188,JU00729,4
TR00189,JU00289,3
TR00189,JU00457,1
TR00189,JU00982,3
TR00190,JU00188,2
TR00191,JU00217,2
TR00191,JU00411,3
TR00191,JU00419,4
TR00192,JU00104,3
TR00192,JU00350,1
TR00193,JU00951,1
TR00194,JU00114,5
TR00194,JU00494,5
TR00195,JU00085,2
TR00195,JU00681,1
TR00195,JU00849,5
TR00196,JU00017,1
TR00196,JU00040,5
TR00196,JU00061,2
TR00196,JU00600,2
TR00197,JU00099,1
TR00197,JU00261,2
TR00197,JU00596,5
TR00197,JU00704,5
TR00198,JU00303,2
TR00198,JU00540,4
TR00199,JU00174,1
TR00199,JU00668,2
TR00199,JU00926,2
TR00200,JU00403,1
TR00200,JU00638,2
TR00200,JU00856,5
TR00200,JU00962,3
TR00200,JU00968,2
TR00201,JU00513,5
TR00202,JU00169,4
TR00202,JU00673,3
TR00202,JU00863,4
TR00203,JU00278,4
TR00204,JU00287,3
TR00205,JU00454,3
TR00205,JU00560,5
TR00206,JU00717,1
TR00206,JU00984,2
TR00207,JU00739,2
TR00208,JU00006,4
TR00208,JU00092,4
TR00208,JU00457,4
TR00208,JU00538,2
TR00208,JU00804,1
TR00209,JU00681,5
TR00209,JU00990,5
TR00210,JU00099,4
TR00210,JU00160,2
TR00210,JU00197,3
TR00211,JU00121,4
TR00211,JU00526,1
TR00211,JU00683,4
TR00212,JU00208,2
TR00212,JU00457,1
TR00212,JU00523,3
TR00212,JU00709,5
TR00212,JU00916,3
TR00213,JU00389,3
TR00213,JU00737,1
TR00213,JU00751,5
TR00214,JU00394,4
TR00215,JU00182,2
TR00215,JU00671,5
TR00216,JU00798,4
TR00216,JU00905,3
TR00217,JU00517,2
TR00217,JU00540,5
TR00217,JU00717,3
TR00217,JU00782,3
TR00218,JU00218,2
TR00219,JU00358,2
TR00219,JU00400,3
TR00220,JU00436,4
TR00220,JU00893,2
TR00221,JU00221,4
TR00221,JU00637,1
TR00221,JU00682,1
TR00221,JU00818,5
TR00221,JU00975,2
TR00222,JU00250,4
TR00222,JU00365,5
TR00222,JU00382,2
TR00222,JU00391,4
TR00223,JU00671,3
TR00223,JU00796,1
TR00224,JU00090,2
TR00224,JU00425,4
TR00224,JU00451,2
TR00224,JU00663,4
TR00225,JU00560,2
TR00226,JU00350,1
TR00227,JU00629,5
TR00228,JU00462,5
TR00228,JU00503,5
TR00229,JU00216,3
TR00229,JU00486,2
TR00230,JU00312,5
TR00230,JU00828,5
TR00231,JU00273,1
TR00231,JU00694,1
TR00231,JU00716,2
TR00232,JU00070,3
TR00232,JU00343,3
TR00232,JU00435,4
TR00232,JU00500,5
TR00232,JU00784,4
TR00232,JU00995,3
TR00233,JU00222,5
TR00233,JU00619,1
TR00233,JU00708,1
TR00234,JU00478,2
TR00234,JU00932,4
TR00235,JU00299,5
TR00235,JU00387,4
TR00235,JU00487,1
TR00235,JU00593,4
TR00236,JU00491,3
TR00237,JU00497,5
TR00237,JU00712,3
TR00237,JU00998,3
TR00238,JU00218,3
TR00238,JU00547,1
TR00238,JU00679,2
TR00239,JU00148,4
TR00239,JU00695,2
TR00239,JU00727,3
TR00240,JU00078,1
TR00240,JU00852,4
TR00240,JU00996,3
TR00241,JU00072,5
TR00242,JU00197,3
TR00242,JU00583,4
TR00242,JU00774,2
TR00242,JU00823,4
TR00242,JU00872,4
TR00243,JU00325,5
TR00243,JU00530,4
TR00243,JU00919,1
TR00244,JU00394,1
TR00245,JU00240,1
TR00245,JU00958,5
TR00246,JU00122,1
TR00246,JU00353,2
TR00246,JU00516,5
TR00247,JU00126,4
TR00247,JU00185,4
TR00247,JU00206,2
TR00247,JU00623,4
TR00247,JU00735,1
TR00247,JU00940,1
TR00248,JU00467,3
TR00248,JU00900,5
TR00249,JU00106,1
TR00249,JU00889,3
TR00250,JU00397,2
TR00250,JU00468,5
TR00251,JU00243,4
TR00252,JU00620,2
TR00252,JU00623,3
TR00252,JU00714,2
TR00253,JU00868,2
TR00254,JU00901,3
TR00255,JU00699,5
TR00256,JU00516,5
TR00256,JU00882,2
TR00256,JU00935,3
TR00257,JU00440,3
TR00258,JU00886,4
TR00259,JU00314,4
TR00259,JU00707,1
TR00259,JU00750,2
TR00260,JU00267,5
TR00260,JU00504,4
TR00261,JU00175,1
TR00261,JU00307,3
TR00261,JU00348,5
TR00262,JU00352,2
TR00262,JU00687,2
TR00262,JU00993,3
TR00263,JU00299,3
TR00263,JU00337,4
TR00263,JU00464,2
TR00264,JU00958,2
TR00265,JU00475,4
TR00266,JU00261,3
TR00266,JU00510,4
TR00266,JU00873,1
TR00267,JU00429,1
TR00267,JU00924,1
TR00268,JU00416,4
TR00268,JU00532,5
TR00269,JU00572,4
TR00270,JU00797,2
TR00270,JU00972,4
TR00271,JU00895,5
TR00272,JU00371,2
TR00272,JU00391,3
TR00272,JU00783,3
TR00273,JU00144,3
TR00273,JU00319,5
TR00274,JU00225,1
TR00274,JU00620,1
TR00275,JU00222,5
TR00275,JU00259,4
TR00275,JU00556,4
TR00275,JU00773,5
TR00276,JU00399,2
TR00277,JU00479,2
TR00278,JU00840,3
TR00278,JU00874,2
TR00279,JU00436,2
TR00279,JU00762,5
TR00280,JU00118,2
TR00280,JU00701,2
TR00280,JU00702,3
TR00280,JU00857,2
TR00280,JU00968,4
TR00281,JU00448,3
TR00282,JU00303,3
TR00283,JU00656,2
TR00284,JU00387,1
TR00285,JU00067,1
TR00285,JU00239,4
TR00285,JU00960,3
TR00286,JU00299,5
TR00286,JU00420,4
TR00286,JU00532,1
TR00287,JU00420,4
TR00287,JU00728,3
TR00288,JU00047,2
TR00288,JU00521,2
TR00288,JU00732,5
TR00289,JU00258,2
TR00289,JU00494,1
TR00290,JU00102,2
TR00290,JU00314,2
TR00290,JU00885,2
TR00291,JU00084,2
TR00291,JU00431,5
TR00292,JU00926,2
TR00293,JU00220,1
TR00293,JU00227,3
TR00293,JU00878,3
TR00293,JU00912,3
TR00294,JU00124,4
TR00294,JU00472,2
TR00295,JU00334,3
TR00295,JU00555,4
TR00295,JU00625,4
TR00295,JU00734,2
TR00295,JU00897,2
TR00296,JU00377,1
TR00296,JU00680,4
TR00296,JU00742,2
TR00297,JU00138,2
TR00297,JU00340,4
TR00298,JU00245,5
TR00298,JU00859,3
TR00299,JU00849,4
TR00300,JU00236,1
TR00300,JU00452,2
TR00300,JU00816,1
TR00301,JU00444,2
TR00301,JU00628,5
TR00302,JU00932,5
TR00303,JU00078,5
TR00303,JU00144,3
TR00303,JU00378,3
TR00303,JU00947,3
TR00304,JU00900,5
TR00304,JU00918,5
TR00305,JU00106,4
TR00305,JU00184,1
TR00305,JU00508,5
TR00305,JU00538,1
TR00305,JU00981,2
TR00306,JU00451,2
TR00306,JU00612,4
TR00307,JU00135,1
TR00307,JU00256,5
TR00307,JU00501,3
TR00308,JU00147,2
TR00308,JU00455,5
TR00309,JU00002,2
TR00310,JU00024,5
TR00310,JU00171,5
TR00311,JU00320,5
TR00311,JU00572,4
TR00312,JU00203,1
TR00312,JU00249,3
TR00312,JU00361,4
TR00312,JU00631,5
TR00312,JU00643,4
TR00313,JU00873,2
TR00314,JU00577,1
TR00315,JU00053,5
TR00315,JU00252,5
TR00316,JU00741,5
TR00317,JU00191,1
TR00317,JU00467,5
TR00317,JU00638,1
TR00317,JU00683,5
TR00318,JU00121,1
TR00318,JU00360,1
TR00319,JU00003,5
TR00320,JU00122,5
TR00320,JU00901,4
TR00321,JU00016,2
TR00321,JU00619,4
TR00321,JU00812,4
TR00321,JU00905,1
TR00322,JU00372,5
TR00322,JU00476,2
TR00322,JU00710,1
TR00322,JU00797,4
TR00323,JU00747,5
TR00323,JU00760,1
TR00324,JU00115,4
TR00325,JU00171,3
TR00325,JU00186,3
TR00325,JU00628,4
TR00326,JU00308,5
TR00326,JU00316,2
TR00326,JU00473,4
TR00327,JU00137,5
TR00327,JU00211,1
TR00327,JU00218,1
TR00327,JU00912,5
TR00328,JU00154,1
TR00329,JU00244,3
TR00329,JU00540,3
TR00329,JU00597,3
TR00329,JU00675,5
TR00330,JU00263,2
TR00331,JU00555,5
TR00331,JU00931,2
TR00332,JU00491,3
TR00333,JU00563,3
TR00333,JU00739,5
TR00333,JU00922,3
TR00333,JU00965,5
TR00334,JU00374,3
TR00334,JU00939,5
TR00335,JU00270,1
TR00335,JU00296,4
TR00335,JU00380,1
TR00335,JU00455,2
TR00335,JU00722,4
TR00335,JU00878,4
TR00336,JU00068,4
TR00336,JU00642,5
TR00337,JU00076,4
TR00338,JU00211,3
TR00338,JU00366,3
TR00338,JU00560,1
TR00338,JU00798,3
TR00338,JU00863,2
TR00339,JU00065,2
TR00339,JU00084,1
TR00339,JU00158,5
TR00339,JU00261,4
TR00340,JU00072,3
TR00340,JU00623,3
TR00341,JU00235,5
TR00342,JU00113,5
TR00342,JU00605,1
TR00342,JU00854,5
TR00343,JU00002,3
TR00343,JU00130,2
TR00343,JU00299,1
TR00343,JU00541,1
TR00343,JU00582,1
TR00344,JU00232,4
TR00344,JU00713,1
TR00344,JU00795,5
TR00345,JU00281,1
TR00345,JU00799,2
TR00346,JU00062,2
TR00346,JU00786,5
TR00347,JU00351,3
TR00347,JU00739,2
TR00348,JU00293,1
TR00348,JU00328,2
TR00348,JU00500,3
TR00348,JU00584,2
TR00348,JU00852,2
TR00348,JU00865,2
TR00349,JU00251,5
TR00349,JU00495,3
TR00349,JU00596,1
TR00350,JU00186,3
TR00350,JU00391,4
TR00350,JU00924,3
TR00351,JU00562,2
TR00351,JU00743,2
TR00352,JU00141,2
TR00352,JU00895,1
TR00353,JU00582,1
TR00353,JU00776,3
TR00354,JU00340,1
TR00355,JU00004,3
TR00355,JU00097,1
TR00355,JU00734,2
TR00355,JU00790,1
TR00356,JU00333,2
TR00357,JU00470,4
TR00357,JU00958,2
TR00358,JU00027,2
TR00359,JU00110,5
TR00359,JU00692,4
TR00359,JU00995,3
TR00360,JU00005,3
TR00360,JU00378,5
TR00360,JU00691,3
TR00361,JU00292,5
TR00361,JU00489,4
TR00361,JU00882,2
TR00361,JU00928,2
TR00362,JU00040,4
TR00363,JU00321,3
TR00363,JU00774,4
TR00363,JU00847,1
TR00364,JU00241,5
TR00364,JU00408,2
TR00364,JU00531,2
TR00364,JU00909,2
TR00365,JU00388,5
TR00365,JU00590,3
TR00365,JU00952,1
TR00366,JU00874,3
TR00367,JU00503,2
TR00368,JU00324,5
TR00368,JU00541,5
TR00368,JU00811,4
TR00369,JU00120,3
TR00369,JU00860,5
TR00370,JU00199,2
TR00370,JU00834,5
TR00370,JU00838,3
TR00371,JU00309,3
TR00371,JU00759,4
TR00371,JU00911,3
TR00372,JU00014,1
TR00372,JU00558,3
TR00373,JU00296,3
TR00374,JU00707,3
TR00375,JU00287,5
TR00376,JU00134,4
TR00376,JU00220,2
TR00377,JU00001,2
TR00377,JU00445,5
TR00377,JU00467,5
TR00377,JU00824,2
TR00378,JU00426,1
TR00378,JU00926,2
TR00379,JU00196,3
TR00379,JU00207,1
TR00380,JU00299,4
TR00380,JU00341,3
TR00380,JU00342,4
TR00381,JU00020,2
TR00381,JU00147,4
TR00382,JU00177,5
TR00383,JU00091,2
TR00384,JU00432,3
TR00385,JU00269,5
TR00385,JU00675,3
TR00386,JU00064,2
TR00387,JU00410,4
TR00387,JU00624,3
TR00387,JU00682,1
TR00388,JU00269,5
TR00388,JU00471,5
TR00389,JU00094,4
TR00389,JU00105,2
TR00389,JU00755,2
TR00389,JU00903,5
TR00389,JU00966,5
TR00390,JU00139,1
TR00390,JU00175,1
TR00390,JU00691,4
TR00391,JU00580,5
TR00391,JU00755,4
TR00392,JU00128,4
TR00393,JU00030,3
TR00393,JU00320,5
TR00393,JU00687,4
TR00393,JU00984,3
TR00394,JU00924,4
TR00395,JU00378,5
TR00395,JU00436,2
TR00396,JU00690,4
TR00396,JU00875,5
TR00397,JU00224,5
TR00397,JU00318,5
TR00397,JU00673,1
TR00398,JU00240,5
TR00398,JU00322,4
TR00398,JU00407,2
TR00398,JU00445,1
TR00398,JU00898,4
TR00399,JU00210,1
TR00399,JU00545,4
TR00399,JU00576,4
TR00399,JU00989,4
TR00400,JU00384,4
TR00400,JU00405,2
TR00400,JU00414,5
TR00401,JU00124,4
TR00401,JU00996,3
TR00402,JU00297,3
TR00402,JU00841,2
TR00403,JU00081,3
TR00403,JU00851,5
TR00404,JU00220,1
TR00404,JU00732,3
TR00405,JU00292,2
TR00405,JU00757,4
TR00405,JU00965,1
TR00405,JU00967,3
TR00406,JU00130,3
TR00406,JU00246,5
TR00407,JU00503,3
TR00407,JU00762,1
TR00408,JU00148,5
TR00408,JU00746,4
TR00408,JU00845,3
TR00409,JU00902,1
TR00410,JU00433,1
TR00411,JU00321,5
TR00411,JU00347,5
TR00411,JU00956,1
TR00412,JU00502,1
TR00412,JU00916,1
TR00413,JU00723,1
TR00414,JU00082,4
TR00414,JU00281,2
TR00414,JU00371,2
TR00414,JU00447,2
TR00414,JU00975,4
TR00415,JU00141,3
TR00416,JU00077,4
TR00417,JU00248,3
TR00417,JU00264,1
TR00418,JU00121,3
TR00418,JU00466,4
TR00418,JU00901,3
TR00419,JU00725,4
TR00420,JU00062,4
TR00420,JU00326,2
TR00420,JU00381,5
TR00421,JU00299,1
TR00421,JU00432,3
TR00421,JU00488,4
TR00421,JU00552,5
TR00422,JU00381,1
TR00423,JU00016,1
TR00423,JU00103,1
TR00423,JU00422,4
TR00423,JU00529,1
TR00423,JU00629,1
TR00423,JU00846,4
TR00423,JU00935,4
TR00424,JU00055,2
TR00425,JU00400,1
TR00425,JU00626,2
TR00425,JU00988,5
TR00426,JU00116,1
TR00426,JU00733,3
TR00426,JU00920,5
TR00427,JU00771,2
TR00427,JU00789,2
TR00428,JU00202,4
TR00428,JU00306,4
TR00428,JU00392,3
TR00428,JU00425,1
TR00428,JU00448,1
TR00428,JU00866,2
TR00429,JU00005,4
TR00429,JU00269,4
TR00429,JU00305,1
TR00429,JU00463,5
TR00429,JU00525,3
TR00429,JU00822,2
TR00430,JU00025,4
TR00430,JU00210,2
TR00430,JU00912,1
TR00431,JU00010,5
TR00431,JU00031,3
TR00432,JU00212,4
TR00432,JU00965,1
TR00433,JU00106,5
TR00433,JU00493,5
TR00433,JU00536,4
TR00433,JU00561,4
TR00434,JU00068,2
TR00434,JU00575,3
TR00434,JU00685,1
TR00435,JU00188,5
TR00435,JU00245,3
TR00436,JU00500,5
TR00436,JU00767,2
TR00437,JU00313,1
TR00437,JU00563,2
TR00438,JU00326,2
TR00438,JU00989,1
TR00439,JU00698,1
TR00439,JU00779,5
TR00440,JU00271,5
TR00440,JU00872,3
TR00441,JU00433,3
TR00441,JU00920,2
TR00441,JU00974,3
TR00442,JU00189,4
TR00442,JU00334,1
TR00442,JU00564,3
TR00443,JU00546,5
TR00443,JU00888,4
TR00444,JU00615,1
TR00444,JU00789,2
TR00444,JU00993,1
TR00445,JU00114,2
TR00445,JU00463,3
TR00445,JU00622,2
TR00445,JU00639,3
TR00445,JU00837,2
TR00446,JU00688,3
TR00446,JU00782,3
TR00446,JU00868,4
TR00446,JU00931,4
TR00447,JU00576,5
TR00447,JU00969,4
TR00448,JU00482,1
TR00448,JU00515,1
TR00449,JU00458,1
TR00449,JU00863,2
TR00450,JU00855,2
TR00450,JU00996,5
TR00451,JU00019,2
TR00451,JU00113,3
TR00451,JU00667,2
TR00451,JU00901,2
TR00452,JU00379,3
TR00452,JU00575,3
TR00453,JU00372,5
TR00453,JU00560,5
TR00454,JU00265,4
TR00454,JU00298,5
TR00454,JU00844,3
TR00455,JU00807,1
TR00456,JU00125,3
TR00456,JU00199,1
TR00456,JU00576,2
TR00456,JU00987,2
TR00457,JU00691,5
TR00458,JU00458,4
TR00458,JU00711,2
TR00458,JU00762,2
TR00459,JU00102,2
TR00459,JU00337,1
TR00459,JU00882,2
TR00460,JU00167,5
TR00461,JU00913,2
TR00462,JU00872,3
TR00462,JU00945,1
TR00462,JU00969,1
TR00463,JU00160,3
TR00463,JU00297,5
TR00464,JU00239,3
TR00464,JU00249,5
TR00464,JU00476,4
TR00465,JU00161,4
TR00465,JU00413,3
TR00465,JU00900,2
TR00466,JU00219,3
TR00466,JU00640,4
TR00467,JU00519,1
TR00467,JU00649,2
